                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0045,                 1.1116,                 1.0916,                0.48946,                0.71302,                0.55133,                0.37308,                 1.2058,                 1.2933,                  1.201,               0.005347,               0.005347,               0.005347
                     49,                 1.0061,                  1.097,                 1.0979,                0.46373,                 0.7257,                 0.5305,                0.36119,                 1.2204,                 1.2967,                 1.2164,               0.005248,               0.005248,               0.005248
                     50,                 1.0174,                 1.1103,                 1.1026,                0.47234,                0.70502,                0.51125,                0.34291,                 1.2548,                 1.3847,                 1.2419,               0.005149,               0.005149,               0.005149
                     51,                 1.0111,                 1.0962,                 1.0899,                0.54042,                0.71464,                0.48222,                 0.3219,                 1.2627,                 1.4213,                 1.2396,                0.00505,                0.00505,                0.00505
                     52,                 1.0057,                 1.0778,                  1.098,                0.46459,                0.70345,                 0.5134,                0.34143,                  1.266,                  1.351,                 1.2317,               0.004951,               0.004951,               0.004951
                     53,                 1.0008,                 1.0954,                 1.1105,                0.47202,                0.73786,                0.53153,                0.35756,                 1.2496,                 1.3046,                 1.2211,               0.004852,               0.004852,               0.004852
                     54,                0.99065,                 1.0954,                  1.095,                0.48993,                 0.6972,                0.53902,                0.35947,                 1.2917,                 1.3252,                 1.2486,               0.004753,               0.004753,               0.004753
                     55,                 1.0131,                 1.0848,                 1.0949,                0.45534,                0.70559,                0.54215,                 0.3649,                 1.2703,                 1.3149,                 1.2394,               0.004654,               0.004654,               0.004654
                     56,                0.97306,                 1.0475,                 1.0799,                0.49497,                0.72299,                0.54677,                 0.3739,                  1.219,                 1.2793,                 1.1977,               0.004555,               0.004555,               0.004555
                     57,                0.98679,                  1.062,                 1.0801,                0.45801,                0.73032,                0.53818,                0.35749,                 1.2741,                 1.3468,                 1.2324,               0.004456,               0.004456,               0.004456
                     58,                 0.9648,                 1.0526,                 1.0814,                0.46867,                0.76194,                0.54354,                0.36545,                 1.2419,                 1.2824,                 1.2236,               0.004357,               0.004357,               0.004357
                     59,                0.96514,                 1.0633,                 1.0936,                0.47118,                0.68989,                0.54833,                0.36819,                 1.2518,                 1.3507,                 1.2305,               0.004258,               0.004258,               0.004258
                     60,                0.95978,                 1.0256,                 1.0722,                0.44275,                0.73307,                0.53358,                0.36083,                 1.2494,                 1.3419,                 1.2324,               0.004159,               0.004159,               0.004159
                     61,                0.96935,                 1.0482,                 1.0751,                0.44854,                0.74171,                 0.4989,                0.33946,                 1.2384,                 1.3296,                 1.2288,                0.00406,                0.00406,                0.00406
